CódigoFabrico;CódigoComercial;Descrição Breve;Descrição Completa;Unidade;Categoria
4500023;320080000196;Folhas de Rolos - 8254;Folhas de Rolos - 8254;UN;PA-FR
4500024;320080000197;Folhas de Rolos - 8256;Folhas de Rolos - 8256;UN;PA-FR
4500025;320080000198;Folhas de Rolos - 8257;Folhas de Rolos - 8257;UN;PA-FR
4500026;320080000199;Folhas de Rolos - 8258;Folhas de Rolos - 8258;UN;PA-FR
4500027;320080000200;Folhas de Rolos - 8260;Folhas de Rolos - 8260;UN;PA-FR
4500028;320080000201;Folhas de Rolos - 8264;Folhas de Rolos - 8264;UN;PA-FR
4500029;320080000202;Folhas de Rolos - 8266;Folhas de Rolos - 8266;UN;PA-FR
4500030;320080000203;Folhas de Rolos - 8276;Folhas de Rolos - 8276;UN;PA-FR
4500031;320080000204;Folhas de Rolos - 8292;Folhas de Rolos - 8292;UN;PA-FR
4500032;320080000205;Folhas de Rolos - 8294;Folhas de Rolos - 8294;UN;PA-FR
4600001;320080000206;Granulado AD;Granulado AD;UN;PA-GR
4600002;320080000207;Granulado ADS;Granulado ADS;UN;PA-GR
4600003;320080000208;Granulado ADT;Granulado ADT;UN;PA-GR
4600004;320080000209;Granulado BD 2/3;Granulado BD 2/3;UN;PA-GR
4600005;320080000210;Granulado BD Fino;Granulado BD Fino;UN;PA-GR
4600006;320080000211;Granulado BD Grosso;Granulado BD Grosso;UN;PA-GR
4600007;320080000212;Granulado BD/MD Fino;Granulado BD/MD Fino;UN;PA-GR
4600008;320080000213;Granulado MD;Granulado MD;UN;PA-GR
4600009;320080000214;Granulado MD(80-90 KG);Granulado MD(80-90 KG);UN;PA-GR
4600010;320080000215;Granulado MF;Granulado MF;UN;PA-GR
4600011;320080000216;Recicláveis;Recicláveis;UN;PA-GR
4600012;320080000217;Granulado BD F (45-50kg);Granulado BD F (45-50kg);UN;PA-GR
4700001;320080000218;Bases cerâmica;Bases cerâmica;UN;PA-HM
4700002;320080000219;Bases mesa decoradas;Bases mesa decoradas;UN;PA-HM
4700003;320080000220;Bases mesa naturais;Bases mesa naturais;UN;PA-HM
4700004;320080000221;Bases quentes;Bases quentes;UN;PA-HM
4700005;320080000222;Contentores;Contentores;UN;PA-HM
4700006;320080000223;Garrafeiras;Garrafeiras;UN;PA-HM
4700007;320080000224;Licenciados;Licenciados;UN;PA-HM
4700008;320080000225;Tabuleiros;Tabuleiros;UN;PA-HM
4700009;320080000226;Tapetes;Tapetes;UN;PA-HM
4800001;320080000227;Quadros CR;Quadros CR;UN;PA-JA
4800002;320080000228;Folhas de Quadros CR;Folhas de Quadros CR;UN;PA-JC
4800003;320080000229;Juntas CR;Juntas CR;UN;PA-JC
4800004;320080000230;Juntas Kits CR;Juntas Kits CR;UN;PA-JC
4800006;320080000231;Folhas de Quadros DS;Folhas de Quadros DS;UN;PA-JD
4800007;320080000232;Juntas DS;Juntas DS;UN;PA-JD
4800008;320080000233;Juntas Kits DS;Juntas Kits DS;UN;PA-JD
4800010;320080000234;Quadros DS;Quadros DS;UN;PA-JD
4900001;320080000235;Mini-Rolos - 4400;Mini-Rolos - 4400;UN;PA-MR
4900002;320080000236;Mini-Rolos - 5011;Mini-Rolos - 5011;UN;PA-MR
4900003;320080000237;Mini-Rolos - 5081;Mini-Rolos - 5081;UN;PA-MR
4900004;320080000238;Mini-Rolos - 5085;Mini-Rolos - 5085;UN;PA-MR
4900005;320080000239;Mini-Rolos - 5185;Mini-Rolos - 5185;UN;PA-MR
4900006;320080000240;Mini-Rolos - 5313;Mini-Rolos - 5313;UN;PA-MR
4900007;320080000241;Mini-Rolos - 5351;Mini-Rolos - 5351;UN;PA-MR
4900008;320080000242;Mini-Rolos - 8202;Mini-Rolos - 8202;UN;PA-MR
4900009;320080000243;Mini-Rolos - 8203;Mini-Rolos - 8203;UN;PA-MR
4900010;320080000244;Mini-Rolos - 8204;Mini-Rolos - 8204;UN;PA-MR
4900011;320080000245;Mini-Rolos - 8205;Mini-Rolos - 8205;UN;PA-MR
4900012;320080000246;Mini-Rolos - 8206;Mini-Rolos - 8206;UN;PA-MR
4900013;320080000247;Mini-Rolos - 8207;Mini-Rolos - 8207;UN;PA-MR
4900014;320080000248;Mini-Rolos - 8210;Mini-Rolos - 8210;UN;PA-MR
4900015;320080000249;Mini-Rolos - 8210 Prof;Mini-Rolos - 8210 Prof;UN;PA-MR
4900016;320080000250;Mini-Rolos - 8226 Prof;Mini-Rolos - 8226 Prof;UN;PA-MR
4900017;320080000251;Mini-Rolos - 8230;Mini-Rolos - 8230;UN;PA-MR
4900018;320080000252;Mini-Rolos - 8232;Mini-Rolos - 8232;UN;PA-MR
4900019;320080000253;Mini-Rolos - 8235;Mini-Rolos - 8235;UN;PA-MR
4900020;320080000254;Mini-Rolos - 8240;Mini-Rolos - 8240;UN;PA-MR
4900021;320080000255;Mini-Rolos - 8242;Mini-Rolos - 8242;UN;PA-MR
4900022;320080000256;Mini-Rolos - 8244;Mini-Rolos - 8244;UN;PA-MR
4900023;320080000257;Mini-Rolos - 8244 Prof;Mini-Rolos - 8244 Prof;UN;PA-MR
4900024;320080000258;Mini-Rolos - 8245;Mini-Rolos - 8245;UN;PA-MR
4900025;320080000259;Mini-Rolos - 8245 Prof;Mini-Rolos - 8245 Prof;UN;PA-MR
4900026;320080000260;Mini-Rolos - 8247;Mini-Rolos - 8247;UN;PA-MR
4900027;320080000261;Mini-Rolos - 8248;Mini-Rolos - 8248;UN;PA-MR
4900028;320080000262;Mini-Rolos - 8248 Prof;Mini-Rolos - 8248 Prof;UN;PA-MR
4900029;320080000263;Mini-Rolos - 8249;Mini-Rolos - 8249;UN;PA-MR
4900030;320080000264;Mini-Rolos - 8251;Mini-Rolos - 8251;UN;PA-MR
4900031;320080000265;Mini-Rolos - 8265;Mini-Rolos - 8265;UN;PA-MR
4900032;320080000266;Mini-Rolos - 8275;Mini-Rolos - 8275;UN;PA-MR
4900033;320080000267;Mini-Rolos - 8276;Mini-Rolos - 8276;UN;PA-MR
4900034;320080000268;Mini-Rolos - 8285;Mini-Rolos - 8285;UN;PA-MR
4900035;320080000269;Mini-Rolos - 8295;Mini-Rolos - 8295;UN;PA-MR
5000001;320080000270;Aglomerado c/ Decorat;Aglomerado c/ Decorat;UN;PA-OP
5000002;320080000271;Cortiça c/Adesivo;Cortiça c/Adesivo;UN;PA-OP
5000003;320080000272;Cortiça c/Desperd.Pneu;Cortiça c/Desperd.Pneu;UN;PA-OP
5000004;320080000273;Cortiça com Cartão;Cortiça com Cartão;UN;PA-OP
5000005;320080000274;Cortiça com Celluloso;Cortiça com Celluloso;UN;PA-OP
5000006;320080000275;Cortiça com Coco;Cortiça com Coco;UN;PA-OP
5000007;320080000276;Cortiça com Cortiça;Cortiça com Cortiça;UN;PA-OP
5000008;320080000277;Cortiça com Decorativo;Cortiça com Decorativo;UN;PA-OP
5000009;320080000278;Cortiça com Latex;Cortiça com Latex;UN;PA-OP
5000010;320080000279;Cortiça com MDF;Cortiça com MDF;UN;PA-OP
5000011;320080000280;Cortiça com Softboard;Cortiça com Softboard;UN;PA-OP
5000012;320080000281;Cortiça Pintada;Cortiça Pintada;UN;PA-OP
5000013;320080000282;Decorativo;Decorativo;UN;PA-OP
5000014;320080000283;Decorativo c/ Celuloso;Decorativo c/ Celuloso;UN;PA-OP
5000015;320080000284;Desperdícios de Folhas;Desperdícios de Folhas;UN;PA-OP
5000017;320080000285;Produtos Dyncork;Produtos Dyncork;UN;PA-OP
5000018;320080000286;Rolo Auto-Adesivo;Rolo Auto-Adesivo;UN;PA-OP
5000019;320080000287;Rolo Medidas Especiais;Rolo Medidas Especiais;UN;PA-OP
5100001;320080000288;Acessórios secretária;Acessórios secretária;UN;PA-OR
5100002;320080000289;Licenciados;Licenciados;UN;PA-OR
5100003;320080000290;Memos combinados;Memos combinados;UN;PA-OR
5100004;320080000291;Memos cortiça decorad;Memos cortiça decorad;UN;PA-OR
5100005;320080000292;Memos cortiça naturais;Memos cortiça naturais;UN;PA-OR
5100007;320080000293;Memos s/ caixilho dec;Memos s/ caixilho dec;UN;PA-OR
5100008;320080000294;Memos s/ caixilho nat;Memos s/ caixilho nat;UN;PA-OR
5200001;320080000295;Decor - Aprov.;Decor - Aprov.;UN;PA-OU
5200002;320080000296;Decor - Blocos;Decor - Blocos;UN;PA-OU
5200003;320080000297;Decor (Acima 3 mm);Decor (Acima 3 mm);UN;PA-OU
5200004;320080000298;Decor (Veneers);Decor (Veneers);UN;PA-OU
5200005;320080000299;Decor 2,0 mm;Decor 2,0 mm;UN;PA-OU
5200006;320080000300;Decor 3,0 mm;Decor 3,0 mm;UN;PA-OU
5200008;320080000301;Parq. Dec. Aprov.;Parq. Dec. Aprov.;UN;PA-OU
5200009;320080000302;Parq. Dec. Cera;Parq. Dec. Cera;UN;PA-OU
5200010;320080000303;Parq. Dec. Verniz;Parq. Dec. Verniz;UN;PA-OU
5200011;320080000304;Parq. Decorativo;Parq. Decorativo;UN;PA-OU
5200012;320080000305;Parq. Natural;Parq. Natural;UN;PA-OU
5200013;320080000306;Parq. Natural Aprov.;Parq. Natural Aprov.;UN;PA-OU
5200014;320080000307;Parq. Natural Blocos;Parq. Natural Blocos;UN;PA-OU
5200015;320080000308;Parq. Natural Cera;Parq. Natural Cera;UN;PA-OU
5200016;320080000309;Parq. Natural Pintado;Parq. Natural Pintado;UN;PA-OU
5200017;320080000310;Parq. Natural Verniz;Parq. Natural Verniz;UN;PA-OU
5200019;320080000311;Roda-Pes Lixados;Roda-Pes Lixados;UN;PA-OU
5200020;320080000312;Roda-Pes Verniz;Roda-Pes Verniz;UN;PA-OU
5200021;320080000313;Stabyll - Aprov.;Stabyll - Aprov.;UN;PA-OU
5200022;320080000314;Stabyll - Bru,Lix,Par;Stabyll - Bru,Lix,Par;UN;PA-OU
5200023;320080000315;Stabyll - Pintado;Stabyll - Pintado;UN;PA-OU
5200024;320080000316;Stabyll - Verniz;Stabyll - Verniz;UN;PA-OU
5300001;320080000317;Regranulado;Regranulado;UN;PA-RG
5300002;320080000318;Rolos - 5011;Rolos - 5011;UN;PA-RL
5300003;320080000319;Rolos - 5019;Rolos - 5019;UN;PA-RL
5300004;320080000320;Rolos - 5019 Profile;Rolos - 5019 Profile;UN;PA-RL
5300005;320080000321;Rolos - 5313;Rolos - 5313;UN;PA-RL
5300006;320080000322;Rolos - 5351;Rolos - 5351;UN;PA-RL
5300007;320080000323;Rolos - 5400 Profile;Rolos - 5400 Profile;UN;PA-RL
5300008;320080000324;Rolos - 8201;Rolos - 8201;UN;PA-RL
5300009;320080000325;Rolos - 8202;Rolos - 8202;UN;PA-RL
5300010;320080000326;Rolos - 8203;Rolos - 8203;UN;PA-RL
5300011;320080000327;Rolos - 8204;Rolos - 8204;UN;PA-RL
5300012;320080000328;Rolos - 8205;Rolos - 8205;UN;PA-RL
5300013;320080000329;Rolos - 8206;Rolos - 8206;UN;PA-RL
5300014;320080000330;Rolos - 8207;Rolos - 8207;UN;PA-RL
5300015;320080000331;Rolos - 8209;Rolos - 8209;UN;PA-RL
5300016;320080000332;Rolos - 8210;Rolos - 8210;UN;PA-RL
5300017;320080000333;Rolos - 8210 Profile;Rolos - 8210 Profile;UN;PA-RL
5300018;320080000334;Rolos - 8214;Rolos - 8214;UN;PA-RL
5300019;320080000335;Rolos - 8216;Rolos - 8216;UN;PA-RL
5300020;320080000336;Rolos - 8219;Rolos - 8219;UN;PA-RL
5300021;320080000337;Rolos - 8220;Rolos - 8220;UN;PA-RL
5300022;320080000338;Rolos - 8221;Rolos - 8221;UN;PA-RL
5300023;320080000339;Rolos - 8222;Rolos - 8222;UN;PA-RL
5300024;320080000340;Rolos - 8225;Rolos - 8225;UN;PA-RL
5300025;320080000341;Rolos - 8226;Rolos - 8226;UN;PA-RL
5300026;320080000342;Rolos - 8229;Rolos - 8229;UN;PA-RL
5300027;320080000343;Rolos - 8230;Rolos - 8230;UN;PA-RL
5300028;320080000344;Rolos - 8231;Rolos - 8231;UN;PA-RL
5300029;320080000345;Rolos - 8232;Rolos - 8232;UN;PA-RL
5300030;320080000346;Rolos - 8235;Rolos - 8235;UN;PA-RL
5300031;320080000347;Rolos - 8236;Rolos - 8236;UN;PA-RL
5300032;320080000348;Rolos - 8240;Rolos - 8240;UN;PA-RL
5300033;320080000349;Rolos - 8242;Rolos - 8242;UN;PA-RL
5300034;320080000350;Rolos - 8244;Rolos - 8244;UN;PA-RL
5300035;320080000351;Rolos - 8244 Profile;Rolos - 8244 Profile;UN;PA-RL
5300036;320080000352;Rolos - 8245;Rolos - 8245;UN;PA-RL
5300037;320080000353;Rolos - 8245 Profile;Rolos - 8245 Profile;UN;PA-RL
5300038;320080000354;Rolos - 8246;Rolos - 8246;UN;PA-RL
5300039;320080000355;Rolos - 8247;Rolos - 8247;UN;PA-RL
5300040;320080000356;Rolos - 8248;Rolos - 8248;UN;PA-RL
5300041;320080000357;Rolos - 8248 Profile;Rolos - 8248 Profile;UN;PA-RL
5300042;320080000358;Rolos - 8249;Rolos - 8249;UN;PA-RL
5300043;320080000359;Rolos - 8250;Rolos - 8250;UN;PA-RL
5300044;320080000360;Rolos - 8251;Rolos - 8251;UN;PA-RL
5300045;320080000361;Rolos - 8252;Rolos - 8252;UN;PA-RL
5300046;320080000362;Rolos - 8253;Rolos - 8253;UN;PA-RL
5300047;320080000363;Rolos - 8254;Rolos - 8254;UN;PA-RL
5300048;320080000364;Rolos - 8255;Rolos - 8255;UN;PA-RL
5300049;320080000365;Rolos - 8256;Rolos - 8256;UN;PA-RL
5300050;320080000366;Rolos - 8257;Rolos - 8257;UN;PA-RL
5300051;320080000367;Rolos - 8258;Rolos - 8258;UN;PA-RL
5300052;320080000368;Rolos - 8259;Rolos - 8259;UN;PA-RL
5300053;320080000369;Rolos - 8260;Rolos - 8260;UN;PA-RL
5300054;320080000370;Rolos - 8261;Rolos - 8261;UN;PA-RL
5300055;320080000371;Rolos - 8262;Rolos - 8262;UN;PA-RL
5300056;320080000372;Rolos - 8263;Rolos - 8263;UN;PA-RL
5300057;320080000373;Rolos - 8264;Rolos - 8264;UN;PA-RL
5300058;320080000374;Rolos - 8265;Rolos - 8265;UN;PA-RL
5300059;320080000375;Rolos - 8266;Rolos - 8266;UN;PA-RL
5300060;320080000376;Rolos - 8270;Rolos - 8270;UN;PA-RL
5300061;320080000377;Rolos - 8275;Rolos - 8275;UN;PA-RL
5300062;320080000378;Rolos - 8276;Rolos - 8276;UN;PA-RL
5300063;320080000379;Rolos - 8280;Rolos - 8280;UN;PA-RL
5300064;320080000380;Rolos - 8281;Rolos - 8281;UN;PA-RL
5300065;320080000381;Rolos - 8285;Rolos - 8285;UN;PA-RL
5300066;320080000382;Rolos - 8290;Rolos - 8290;UN;PA-RL
5300067;320080000383;Rolos - 8292;Rolos - 8292;UN;PA-RL
5300068;320080000384;Rolos - 8294;Rolos - 8294;UN;PA-RL
5300069;320080000385;Rolos - 8295;Rolos - 8295;UN;PA-RL
5300071;320080000386;Rolos US;Rolos US;UN;PA-RL
5400006;320080000387;Tiras de Rolos/Placas;Tiras de Rolos/Placas;UN;PA-TR
5400007;320080000388;Triturado Broca;Triturado Broca;UN;PA-TR
5400008;320080000389;Triturado Costa;Triturado Costa;UN;PA-TR
5400009;320080000390;Triturado Especial;Triturado Especial;UN;PA-TR
5400010;320080000391;Triturado Virgem;Triturado Virgem;UN;PA-TR
5500001;320080000392;Discos c/ Vinil;Discos c/ Vinil;UN;PA-VN
5500002;320080000393;Placas c/ Vinil;Placas c/ Vinil;UN;PA-VN
6000001;320090000001;Blocos Brancos;Blocos Brancos;UN;SA-BL
6000002;320090000002;Blocos c/ Desperd.Pneu;Blocos c/ Desperd.Pneu;UN;SA-BL
6000003;320090000003;Blocos Calçado;Blocos Calçado;UN;SA-BL
6000004;320090000004;Blocos Decor;Blocos Decor;UN;SA-BL
6000006;320090000005;Blocos Parquet;Blocos Parquet;UN;SA-BL
6100001;320090000006;Solados;Solados;UN;SA-CC
6100002;320090000007;Cilindros 36"x39";Cilindros 36"x39";UN;SA-CI
6100003;320090000008;Cilindros 40"x39";Cilindros 40"x39";UN;SA-CI
6100004;320090000009;Cilindros 42"x39";Cilindros 42"x39";UN;SA-CI
6100005;320090000010;Cilindros 49"x39";Cilindros 49"x39";UN;SA-CI
6100006;320090000011;Cilindros 50"x39";Cilindros 50"x39";UN;SA-CI
6100007;320090000012;Cilindros 54"x39";Cilindros 54"x39";UN;SA-CI
6100008;320090000013;Cilindros 60"x39";Cilindros 60"x39";UN;SA-CI
6100009;320090000014;Cilindros 62"x39";Cilindros 62"x39";UN;SA-CI
6100010;320090000015;Cilindros 64"x39";Cilindros 64"x39";UN;SA-CI
6100011;320090000016;Cilindros 72"x39";Cilindros 72"x39";UN;SA-CI
6100012;320090000017;Cilindros >50"x43";Cilindros >50"x43";UN;SA-CI
6100013;320090000018;Cilindros >54"x43";Cilindros >54"x43";UN;SA-CI
6100014;320090000019;Cilindros >56"x43";Cilindros >56"x43";UN;SA-CI
6100015;320090000020;Cilindros >60"x43";Cilindros >60"x43";UN;SA-CI
6100016;320090000021;Cilindros 1 m;Cilindros 1 m;UN;SA-CI
6100017;320090000022;CILINDROS 32";CILINDROS 32";UN;SA-CI
6100018;320090000023;Cilindros 36'';Cilindros 36'';UN;SA-CI
6100019;320090000024;Cilindros 42'';Cilindros 42'';UN;SA-CI
6100020;320090000025;Cilindros 43'';Cilindros 43'';UN;SA-CI
6100021;320090000026;Cilindros 48'';Cilindros 48'';UN;SA-CI
6100022;320090000027;Cilindros 50'';Cilindros 50'';UN;SA-CI
6200001;320090000028;Blocos CR;Blocos CR;UN;SA-CR
6200002;320090000029;Cilindros Caland. CR;Cilindros Caland. CR;UN;SA-CR
6200003;320090000030;Cilindros Ply-up CR;Cilindros Ply-up CR;UN;SA-CR
6200004;320090000031;Folhas CR;Folhas CR;UN;SA-CR
6200005;320090000032;Misturas;Misturas;UN;SA-CR
6200006;320090000033;Rolos CR;Rolos CR;UN;SA-CR
6300001;320090000034;Desp.Moídos Borracha;Desp.Moídos Borracha;UN;SA-DM
6300002;320090000035;Desp.Moídos Folhas;Desp.Moídos Folhas;UN;SA-DM
6300003;320090000036;Desp.Moídos RH;Desp.Moídos RH;UN;SA-DM
6300004;320090000037;Blocos DS;Blocos DS;UN;SA-DS
6300005;320090000038;Cilindros DS;Cilindros DS;UN;SA-DS
6300006;320090000039;Folhas DS;Folhas DS;UN;SA-DS
6300007;320090000040;Misturas;Misturas;UN;SA-DS
6300008;320090000041;Rolos DS;Rolos DS;UN;SA-DS
6300009;320090000042;Fl.Prensadas Parq.Dec;Fl.Prensadas Parq.Dec;UN;SA-FP
6300011;320090000043;Fl.Prensadas Stabyll;Fl.Prensadas Stabyll;UN;SA-FP
6400001;320090000044;Granulado AD;Granulado AD;UN;SA-GH
6400002;320090000045;Granulado ADR;Granulado ADR;UN;SA-GH
6400003;320090000046;Granulado ADTR;Granulado ADTR;UN;SA-GH
6400004;320090000047;Granulado BD 2/3;Granulado BD 2/3;UN;SA-GH
6400005;320090000048;Granulado BD Fino;Granulado BD Fino;UN;SA-GH
6400006;320090000049;Granulado BD Grosso;Granulado BD Grosso;UN;SA-GH
6400007;320090000050;Granulado BD/MD;Granulado BD/MD;UN;SA-GH
6400008;320090000051;Granulado MD;Granulado MD;UN;SA-GH
6400009;320090000052;Granulado MDR;Granulado MDR;UN;SA-GH
6400010;320090000053;Granulado MF;Granulado MF;UN;SA-GH
6400011;320090000054;Granulado Mistura;Granulado Mistura;UN;SA-GH
6500001;320090000055;Especialidades;Especialidades;UN;SA-GI
6500002;320090000056;Garrafeiras;Garrafeiras;UN;SA-GI
6500003;320090000057;Memoboards;Memoboards;UN;SA-GI
6500006;320090000058;Tablemats/Disney;Tablemats/Disney;UN;SA-GI
6500007;320090000059;Trivets;Trivets;UN;SA-GI
6600001;320090000060;Granulado AD Seco;Granulado AD Seco;UN;SA-GS
6600002;320090000061;Granulado BD 2/3 Seco;Granulado BD 2/3 Seco;UN;SA-GS
6600003;320090000062;Granulado BD Fino Seco;Granulado BD Fino Seco;UN;SA-GS
6600004;320090000063;Granulado BD Grosso Sc;Granulado BD Grosso Sc;UN;SA-GS
6600005;320090000064;Granulado BD/MD Seco;Granulado BD/MD Seco;UN;SA-GS
6600006;320090000065;Granulado Falca Seco;Granulado Falca Seco;UN;SA-GS
6600007;320090000066;Granulado MD Seco;Granulado MD Seco;UN;SA-GS
6600008;320090000067;Granulado Mistura Seco;Granulado Mistura Seco;UN;SA-GS
6700001;320090000068;Folhas de Quadros CR;Folhas de Quadros CR;UN;SA-JC
6700002;320090000069;Juntas CR;Juntas CR;UN;SA-JC
6700004;320090000070;Quadros CR;Quadros CR;UN;SA-JC
6700005;320090000071;Folhas de Quadros DS;Folhas de Quadros DS;UN;SA-JD
6700006;320090000072;Juntas DS;Juntas DS;UN;SA-JD
6700008;320090000073;Quadros DS;Quadros DS;UN;SA-JD
7000001;320090000074;Decor;Decor;UN;SA-PL
7000002;320090000075;Parquet;Parquet;UN;SA-PL
7000003;320090000076;Placas Brancos;Placas Brancos;UN;SA-PL
7000004;320090000077;Placas Brancos>=100;Placas Brancos>=100;UN;SA-PL
7000005;320090000078;Placas Calçado;Placas Calçado;UN;SA-PL
7000006;320090000079;Placas Calçado>=100;Placas Calçado>=100;UN;SA-PL
7000009;320090000080;Rodapés;Rodapés;UN;SA-PL
7000010;320090000081;Stabyll;Stabyll;UN;SA-PL
7000011;320090000082;Pó Cortiça c/ Borracha;Pó Cortiça c/ Borracha;UN;SA-PO
7000012;320090000083;Pó de Cortiça;Pó de Cortiça;UN;SA-PO
7000013;320090000084;Folhas de Rolos;Folhas de Rolos;UN;SA-RF
7000014;320090000085;Rolos;Rolos;UN;SA-RF
7000015;320090000086;Rolos para Mini-Rolos;Rolos para Mini-Rolos;UN;SA-RM
7000016;320090000087;Triturado Barrigas;Triturado Barrigas;UN;SA-TR
7000017;320090000088;Triturado Broca;Triturado Broca;UN;SA-TR
7000018;320090000089;Triturado Crú;Triturado Crú;UN;SA-TR
7000019;320090000090;Triturado Especial;Triturado Especial;UN;SA-TR
7000020;320090000091;Triturado Grossa;Triturado Grossa;UN;SA-TR
7000021;320090000092;Triturado Virgem;Triturado Virgem;UN;SA-TR
7000022;320090000093;Triturados Mistura;Triturados Mistura;UN;SA-TR
7000023;320090000094;Fl.Prens.Discos Vinil;Fl.Prens.Discos Vinil;UN;SA-VN
